商品マスタ用テンプレート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品マスタID,Mycaアプリ上でのID,商品名,商品名カナ,エキスパンション,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない,アップロードエラー,,,,,,,,,,,
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,display_name_ruby,expansion,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden,upload_error,,,,,,,,,,,
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112677,359455,レシラムex,,sv11W,174/086,BWR,ホワイトフレア,sv11W 174/086 レシラムex レシラムex れしらむex,,0,ポケモン,カード,49800,29000,☑,https://www.pokemon-card.com/assets/images/card_images/large/SV11W/048086_P_RESHIRAMUEX.jpg,,,,,,,,,,True,レシラムex,174086,レシラムex,174086,レシラムex,174086
1112678,359105,ダイケンキ,,sv11W,104/086,AR,ホワイトフレア,sv11W 104/086 ダイケンキ だいけんき,,0,ポケモン,カード,880,400,☑,https://www.pokemon-card.com/assets/images/card_images/large/SV11W/048016_P_DAIKENKI.jpg,,,,,,,,,,True,ダイケンキ,104086,ダイケンキ,104086,ダイケンキ,104086
1112679,359100,フタチマル,,sv11W,103/086,AR,ホワイトフレア,sv11W 103/086 フタチマル ふたちまる,,0,ポケモン,カード,580,300,☑,https://www.pokemon-card.com/assets/images/card_images/large/SV11W/048015_P_FUTACHIMARU.jpg,,,,,,,,,,True,フタチマル,103086,フタチマル,103086,フタチマル,103086
1112680,359095,ミジュマル,,sv11W,102/086,AR,ホワイトフレア,sv11W 102/086 ミジュマル みじゅまる,,0,ポケモン,カード,980,2000,☑,https://www.pokemon-card.com/assets/images/card_images/large/SV11W/048014_P_MIJIXYUMARU.jpg,,,,,,,,,,True,ミジュマル,102086,ミジュマル,102086,ミジュマル,102086
1112681,359075,エンブオー,,sv11W,098/086,AR,ホワイトフレア,sv11W 098/086 エンブオー えんぶおー,,0,ポケモン,カード,980,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV11W/048010_P_ENBUO.jpg,,,,,,,,,,False,エンブオー,098086,エンブオー,098086,エンブオー,098086
1112682,359070,チャオブー,,sv11W,097/086,AR,ホワイトフレア,sv11W 097/086 チャオブー ちゃおぶー,,0,ポケモン,カード,480,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV11W/048009_P_CHIXYAOBU.jpg,,,,,,,,,,False,チャオブー,097086,チャオブー,097086,チャオブー,097086
1112683,359065,ポカブ,,sv11W,096/086,AR,ホワイトフレア,sv11W 096/086 ポカブ ぽかぶ,,0,ポケモン,カード,980,600,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV11W/048008_P_POKABU.jpg,,,,,,,,,,False,ポカブ,096086,ポカブ,096086,ポカブ,096086
